rowID,stamp,datetime,hum
347999,1497825550, 2017/6/18 22:39:10,64.2
348999,1497825551, 2017/6/18 22:39:11,64.2
349999,1497825552, 2017/6/18 22:39:12,64.2
350999,1497825553, 2017/6/18 22:39:13,64.2
351999,1497825554, 2017/6/18 22:39:14,64.1
352999,1497825555, 2017/6/18 22:39:15,64.1
353999,1497825556, 2017/6/18 22:39:16,64.1
354999,1497825557, 2017/6/18 22:39:17,64.1
355999,1497825558, 2017/6/18 22:39:18,64.1
356999,1497825559, 2017/6/18 22:39:19,64.1
357999,1497825560, 2017/6/18 22:39:20,64.1
358999,1497825561, 2017/6/18 22:39:21,64.0
359999,1497825562, 2017/6/18 22:39:22,64.0
360999,1497825563, 2017/6/18 22:39:23,64.0
361999,1497825564, 2017/6/18 22:39:24,64.0
362999,1497825565, 2017/6/18 22:39:25,64.0
363999,1497825566, 2017/6/18 22:39:26,64.0
364999,1497825567, 2017/6/18 22:39:27,63.9
365999,1497825568, 2017/6/18 22:39:28,63.9
366999,1497825569, 2017/6/18 22:39:29,64.0
367999,1497825570, 2017/6/18 22:39:30,64.0
368999,1497825571, 2017/6/18 22:39:31,64.0
369999,1497825572, 2017/6/18 22:39:32,64.0
370999,1497825573, 2017/6/18 22:39:33,64.0
371999,1497825574, 2017/6/18 22:39:34,64.0
372999,1497825575, 2017/6/18 22:39:35,64.0
373999,1497825576, 2017/6/18 22:39:36,64.0
374999,1497825577, 2017/6/18 22:39:37,64.0
375999,1497825578, 2017/6/18 22:39:38,64.1
376999,1497825579, 2017/6/18 22:39:39,64.1
377999,1497825580, 2017/6/18 22:39:40,64.2
378999,1497825581, 2017/6/18 22:39:41,64.2
379999,1497825582, 2017/6/18 22:39:42,64.2
380999,1497825583, 2017/6/18 22:39:43,64.2
381999,1497825584, 2017/6/18 22:39:44,64.2
382999,1497825585, 2017/6/18 22:39:45,64.2
383999,1497825586, 2017/6/18 22:39:46,64.2
384999,1497825587, 2017/6/18 22:39:47,64.2
385999,1497825588, 2017/6/18 22:39:48,64.2
386999,1497825589, 2017/6/18 22:39:49,64.2
387999,1497825590, 2017/6/18 22:39:50,64.2
388999,1497825591, 2017/6/18 22:39:51,64.2
389999,1497825592, 2017/6/18 22:39:52,64.2
390999,1497825593, 2017/6/18 22:39:53,64.2
391999,1497825594, 2017/6/18 22:39:54,64.2
